Year,Employee ID,Q1,Q2,Q3,Q4
2014,AW139397894,375000,525000,200000,300000
2014,AW191644724,400000,600000,600000,525000
2014,AW234474252,300000,350000,200000,200000
2014,AW399771412,350000,375000,500000,500000
2014,AW502097814,10000,15000,50000,60000
2014,AW61161660,200000,450000,250000,300000
2014,AW615389812,500000,750000,700000,850000
2014,AW716374314,500000,600000,600000,650000
2014,AW841560125,250000,275000,300000,350000
2014,AW987554265,150000,250000,200000,225000
2015,AW134219713,500000,500000,200000,300000
2015,AW139397894,650000,700000,500000,725000
2015,AW191644724,1000000,100000,800000,950000
2015,AW234474252,400000,400000,300000,300000
2015,AW399771412,400000,350000,250000,200000
2015,AW502097814,60000,120000,100000,50000
2015,AW61161660,400000,425000,425000,450000
2015,AW615389812,1200000,1100000,800000,1000000
2015,AW668991357,1000000,1000000,750000,1000000
2015,AW716374314,650000,550000,450000,550000
2015,AW841560125,1000000,800000,600000,900000
2015,AW90836195,200000,225000,225000,250000
2015,AW982310417,5000,,25000,25000
2015,AW987554265,350000,325000,200000,250000
2016,AW134219713,850000,900000,600000,800000
2016,AW139397894,750000,650000,500000,550000
2016,AW191644724,1250000,1000000,800000,850000
2016,AW234474252,400000,450000,200000,300000
2016,AW399771412,800000,550000,500000,700000
2016,AW481044938,100000,30000,0,15000
2016,AW502097814,125000,75000,65000,125000
2016,AW61161660,550000,550000,575000,600000
2016,AW615389812,1000000,800000,600000,800000
2016,AW668991357,1100000,1150000,750000,1000000
2016,AW716374314,650000,575000,500000,600000
2016,AW758596752,265000,280000,,
2016,AW841560125,100000,800000,650000,750000
2016,AW90836195,375000,350000,380000,450000
2016,AW954276278,500000,600000,450000,625000
2016,AW982310417,30000,35000,35000,30000
2016,AW987554265,525000,375000,300000,300000
2017,AW134219713,900000,1000000,660000,880000
2017,AW139397894,575000,600000,510000,560000
2017,AW191644724,900000,950000,900000,950000
2017,AW234474252,400000,450000,300000,400000
2017,AW399771412,800000,750000,600000,800000
2017,AW481044938,20000,0,0,15000
2017,AW502097814,130000,55000,75000,135000
2017,AW61161660,625000,625000,585000,610000
2017,AW615389812,850000,900000,700000,900000
2017,AW668991357,1000000,1100000,790000,1200000
2017,AW716374314,625000,425000,520000,620000
2017,AW841560125,750000,800000,750000,850000
2017,AW90836195,475000,500000,480000,550000
2017,AW954276278,650000,700000,500000,685000
2017,AW982310417,15000,0,135000,130000
2017,AW987554265,350000,375000,1300000,1300000
